State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Christians,Others_Religions,Households_with_Computer,Housholds_with_Electric_Lighting,Urban_Households,Rural_Households,Higher_Education,Graduate_Education,Illiterate_Education,Literate_Education,SC,ST,sex ratio,literacy_rate,Illiterate_rate
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,31265,1970,8466,5556,887,14188,6306,17889,3987,2693,25606,40193,0,46380,82.0,58.0,31.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,15881,2218,29969,60005,1300,14204,8503,22272,8418,6030,27956,74220,0,92783,93.0,58.0,25.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,492966,1198036,1020,14,25286,84804,52192,447189,87377,46947,664161,1083591,95320,27344,95.0,53.0,39.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,359145,371033,5924,9,12959,49866,38470,181923,35491,20221,260721,479431,82784,18835,97.0,59.0,35.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,1038985,654816,37635,98,37541,140205,88933,346227,79766,45341,357907,1378531,264897,17569,96.0,68.0,21.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,327322,597392,1688,19,12084,45444,20189,268517,47398,22267,375556,575240,40260,8419,95.0,52.0,40.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,655052,13475,8711,6315,10410,28195,16504,211758,55399,28006,194984,521393,44225,325560,95.0,62.0,28.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,1198401,64526,52968,46,34479,136685,77163,299852,89500,59380,340744,983760,58876,102871,96.0,67.0,26.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,347878,579929,77862,103,13524,78641,39504,228610,39885,18294,375071,657440,45094,231570,96.0,56.0,37.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,917426,90312,50582,1347,17636,82345,34190,292893,66197,36887,258897,820800,62298,111765,96.0,68.0,24.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,251194,397653,8480,636,10615,44143,16202,159215,28504,11608,173306,500042,70659,691,95.0,62.0,26.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,1008219,54684,21051,578,26357,122063,80824,286330,97025,62608,209170,892694,88665,139971,96.0,73.0,19.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,877495,601784,33297,55,23468,122191,43849,390596,118849,55011,392678,1142942,107827,182038,95.0,66.0,26.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,766000,20290,157789,3568,11340,53918,37185,215691,40602,18225,310093,676227,44961,538738,95.0,58.0,32.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,521962,692489,11990,110,24699,70951,32695,261945,39637,21408,303785,935508,157890,1940,96.0,65.0,25.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,529068,252271,101091,123,14063,41373,17115,204896,39571,17287,340601,576006,29570,278665,96.0,55.0,38.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,797130,193476,46217,2410,15011,60296,34694,293239,82885,44212,275677,795681,81840,249426,97.0,66.0,26.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,1225246,1563203,26844,61,45956,195631,124186,674999,115864,66994,873197,1999919,266350,115153,96.0,61.0,31.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,491582,277488,429,9,12360,68313,28238,210706,71734,39368,188960,606629,60216,23364,95.0,69.0,24.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,1422824,350536,138166,221,31254,133368,64528,483325,90385,49901,627141,1298039,109130,232207,96.0,58.0,33.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,1181347,48373,76877,395,27948,161718,90910,290704,61040,38152,417081,910252,37688,82066,95.0,60.0,31.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,1593525,1207442,4116,63,29796,43290,44213,659061,68177,39627,1653766,1485840,382654,38848,92.0,43.0,59.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,2291133,237353,2218,19,31168,44456,49006,428291,136783,91371,784131,1833998,612064,1033,93.0,58.0,31.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,2545438,786677,15991,1005,69937,589477,427343,551789,310762,253253,819734,2611982,539368,143366,92.0,68.0,22.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,1772655,250925,6138,1035,22300,62359,18492,425604,63103,35767,879831,1214645,247858,90432,91.0,47.0,43.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,2554330,407348,2209,57,43127,120373,139248,594377,144783,101836,1242551,1822334,432270,1597,89.0,52.0,42.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,2487866,537098,3556,32,46929,174534,130634,522527,154643,118843,1139715,1976417,318569,67180,88.0,52.0,38.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,2518216,197819,2165,48,34658,62153,77368,434559,163303,131137,1005140,2172525,425402,13977,91.0,59.0,37.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,1591454,105423,2125,57,19324,46760,35405,299252,89306,64117,457814,1344677,251737,26824,92.0,58.0,27.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,3042729,881476,3534,101,53205,127442,95539,907174,152540,129597,2203198,2028545,615688,2772,91.0,46.0,56.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,3876395,488121,3943,108,57011,112617,111282,696289,191824,131163,1953368,2784730,1334351,3098,94.0,52.0,44.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,2119262,436057,2463,28,33596,69375,38133,515925,123249,79109,977719,1736879,320064,60807,102.0,54.0,38.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,1525746,217621,8443,3438,22414,32633,30851,325909,56137,29633,765297,1085477,302649,78793,92.0,49.0,43.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,1045117,75742,691,58,11302,27641,28132,186660,68748,45519,495877,725997,222974,1285,92.0,55.0,44.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,1684589,1365645,8659,2141,27263,60900,69838,668232,88498,57114,1705551,1445438,263100,179971,92.0,42.0,56.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,1486989,175588,1253,115,21654,40641,21007,373696,65931,38697,903323,925251,247161,675,89.0,46.0,54.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,531236,1149095,5783,28,14073,58718,43357,401793,25989,15386,945397,769119,113118,64224,95.0,44.0,56.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,956396,40886,487,52,8862,44491,31763,175882,48001,27261,450967,597955,153209,8333,90.0,51.0,45.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,1753829,241760,1342,81,23309,23236,24000,486278,79891,44955,1202278,875510,346275,12532,91.0,42.0,60.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,3652168,818912,3262,169,65548,113281,41234,1047552,170563,137780,2003079,2698989,587158,3990,93.0,48.0,45.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,1252319,110416,1815,61,17946,90461,85782,222281,101907,64469,498676,849734,183846,21404,88.0,59.0,36.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,4032773,745546,5149,98,73012,180651,120700,998694,194920,138916,1924438,2903794,751975,5979,90.0,52.0,40.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,2669775,198033,1978,64,43848,101378,102522,514141,177358,133032,1324385,1985188,607672,1442,92.0,53.0,46.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,1964620,244394,1299,80,28411,31162,45323,379551,95943,64585,1091439,1489517,565112,2045,94.0,49.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,3047427,865090,8469,1895,41143,57546,96620,839514,98732,70669,1710878,2182688,553944,250046,91.0,45.0,43.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,5356075,439952,12551,203,132582,546859,552103,657991,463361,452340,2590473,4920726,920918,9069,90.0,59.0,44.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,4086453,990349,4865,104,70258,74979,101565,1142260,121594,68781,2142757,3150588,649726,12461,90.0,45.0,42.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,1989420,1255641,7989,650,33664,86058,85749,712847,83226,59996,1798786,1486857,390991,139490,92.0,41.0,55.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,2645415,300487,2889,537,36279,114893,95678,512383,194928,161555,876443,2188753,549546,31650,92.0,61.0,30.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,1629254,266620,1292,8,19415,41342,38046,432651,64560,47051,1151349,855188,317249,6009,91.0,42.0,61.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,3800598,452370,2126,112,50918,88021,43486,1012979,186153,129933,1996651,2549708,803128,1884,91.0,50.0,47.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,3534772,406449,2330,107,37442,94787,76299,701323,213251,148065,1313700,2653504,474066,36786,95.0,55.0,33.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,596102,37653,313,31,8873,20065,24345,108293,33856,19676,305609,409518,131115,617,93.0,52.0,48.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,552492,99342,522,44,6698,10004,7516,158484,16031,10091,348078,308989,96655,318,89.0,43.0,53.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,2672311,740101,2897,20,42461,66263,49670,807294,92783,70549,1852765,1635891,405714,2989,90.0,42.0,54.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,2712635,608282,2618,86,37833,52935,41858,632514,186817,119164,1207119,2421121,386685,87000,99.0,58.0,36.0
